latitude,longitude,brightness,scan,track,eruption_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,label
19.4156,-155.4116,308.7,1.0,1.0,2003-02-24,837,Terra,MODIS,71,6.2,283.8,10.5,N,0,2003,1
19.4142,-155.421,320.6,1.0,1.0,2003-02-24,837,Terra,MODIS,100,6.2,284.8,20.9,N,0,2003,1
19.4245,-155.413,315.9,1.0,1.0,2003-02-24,837,Terra,MODIS,86,6.2,286.4,15.9,N,0,2003,1
19.4231,-155.4224,345.6,1.0,1.0,2003-02-24,837,Terra,MODIS,100,6.2,290.3,56.5,N,0,2003,1
19.4218,-155.4319,348.9,1.0,1.0,2003-02-24,837,Terra,MODIS,100,6.2,288.0,63.4,N,0,2003,1
19.4321,-155.4238,314.5,1.0,1.0,2003-02-24,837,Terra,MODIS,89,6.2,284.3,15.0,N,0,2003,1
19.4309,-155.4144,372.8,1.4,1.2,2003-02-24,2048,Terra,MODIS,100,6.2,305.1,189.1,D,0,2003,1
19.4221,-155.4287,355.5,1.4,1.2,2003-02-24,2048,Terra,MODIS,98,6.2,306.7,109.7,D,0,2003,1
19.4206,-155.4163,333.7,1.4,1.2,2003-02-24,2048,Terra,MODIS,86,6.2,306.3,41.9,D,0,2003,1
19.419,-155.4037,324.7,1.4,1.2,2003-02-24,2048,Terra,MODIS,78,6.2,301.3,24.4,D,0,2003,1
19.4134,-155.4039,322.5,1.1,1.1,2003-02-24,2351,Aqua,MODIS,38,6.2,305.9,11.9,D,0,2003,1
19.4106,-155.4257,331.1,1.1,1.1,2003-02-24,2351,Aqua,MODIS,68,6.2,306.1,25.3,D,0,2003,1
19.4229,-155.4055,331.7,1.1,1.1,2003-02-24,2351,Aqua,MODIS,66,6.2,306.0,21.9,D,0,2003,1
19.4214,-155.4164,362.8,1.1,1.1,2003-02-24,2351,Aqua,MODIS,100,6.2,313.1,98.5,D,0,2003,1
19.42,-155.4274,327.7,1.1,1.1,2003-02-24,2351,Aqua,MODIS,36,6.2,303.0,18.5,D,0,2003,1
19.4308,-155.4181,402.3,1.1,1.1,2003-02-24,2351,Aqua,MODIS,100,6.2,319.5,306.8,D,0,2003,1
19.4294,-155.4292,352.8,1.1,1.1,2003-02-24,2351,Aqua,MODIS,96,6.2,313.2,68.5,D,0,2003,1
19.4402,-155.42,354.5,1.1,1.1,2003-02-24,2351,Aqua,MODIS,97,6.2,307.7,72.1,D,0,2003,1
19.4388,-155.431,340.7,1.1,1.1,2003-02-24,2351,Aqua,MODIS,90,6.2,300.0,39.9,D,0,2003,1
19.4313,-155.4188,325.5,4.0,1.9,2003-03-20,2301,Aqua,MODIS,70,6.2,304.2,130.3,D,0,2003,1
19.4247,-155.4507,336.4,4.0,1.9,2003-03-20,2301,Aqua,MODIS,88,6.2,299.8,235.3,D,0,2003,1
19.4379,-155.4375,345.8,1.0,1.0,2003-03-21,2344,Aqua,MODIS,92,6.2,317.2,36.1,D,0,2003,1
19.4349,-155.4337,325.8,1.7,1.3,2003-03-22,2124,Terra,MODIS,79,6.2,311.4,29.5,D,0,2003,1
19.4175,-155.263,310.4,1.8,1.3,2006-10-08,2123,Terra,MODIS,0,6.2,291.5,18.2,D,0,2006,1
19.4028,-155.2812,325.3,1.1,1.1,2008-04-21,2335,Aqua,MODIS,71,6.2,309.7,14.2,D,0,2008,1
19.4033,-155.2803,300.0,1.0,1.0,2008-04-27,1205,Aqua,MODIS,6,6.2,285.9,6.2,N,0,2008,1
19.4056,-155.2773,320.9,2.3,1.5,2008-04-27,2130,Terra,MODIS,48,6.2,304.7,42.6,D,0,2008,1
19.407,-155.2723,310.2,1.1,1.1,2008-05-08,2112,Terra,MODIS,17,6.2,296.8,7.5,D,0,2008,1
19.4088,-155.2829,314.4,1.1,1.1,2008-05-08,2112,Terra,MODIS,59,6.2,298.4,10.5,D,0,2008,1
